trait,dice,result,time,context
int,8,"5,7,1,8,8,5,4,5",Sat Mar 28 08.52.36 2020,Snakker med Oxley om hjernebølgemaskine
dex,2,"8,9",Sat Mar 28 08.55.13 2020,ramme scan med whisky
str,6,"5,1,2,2,2,1",Sat Mar 28 09.18.02 2020,syl i hjertet
str,6,"1,0,2,8,8,2",Sat Mar 28 09.19.19 2020,syl i nabo
str,1,1,Sat Mar 28 09.19.32 2020,syl i nabo
dex,2,"4,9",Sat Mar 28 09.21.02 2020,syl fra hånd
str,6,"1,1,5,5,1,9",Sat Mar 28 09.21.49 2020,syl i flygtende mand
intu,2,"0,4",Sat Mar 28 09.22.34 2020,efter fejl
intu,1,9,Sat Mar 28 09.22.41 2020,efter fejl
intu,2,"9,2",Sat Mar 28 09.36.45 2020,søger efter sværd
inte,8,"5,3,7,5,10,10,4,2",Sat Mar 28 09.39.32 2020,skub dør under kørsel
inte,2,"2,8",Sat Mar 28 09.39.38 2020,skub dør under kørsel
str,6,"0,8,9,1,9,1",Sat Mar 28 09.41.11 2020,samurai slice Jack Wangs fangevogtere
str,1,8,Sat Mar 28 09.41.16 2020,samurai slice Jack Wangs fangevogtere
dex,2,"9,1",Sat Mar 28 10.17.14 2020,hoppe mod Kenny wang
str,6,"9,3,4,0,4,8",Sat Mar 28 10.17.25 2020,slag
str,1,5,Sat Mar 28 10.17.31 2020,slag
com,8,"4,5,9,3,2,0,0,10",Sat Mar 28 10.18.17 2020,selvsikkerhed i deadlock mod Kenny
com,3,"6,9,6",Sat Mar 28 10.18.25 2020,selvsikkerhed i deadlock mod Kenny
str,6,"3,2,2,7,5,2",Sat Mar 28 10.19.59 2020,slag
sta,2,"5,7",Sat Mar 28 10.20.50 2020,falder
dex,2,"1,2",Sat Mar 28 10.23.24 2020,undvig
cha,2,"1,0",Sat Mar 28 10.25.49 2020,bare os to
cha,1,6,Sat Mar 28 10.25.55 2020,bare os to
inte,6,"5,9,8,5,4,8",Sat Mar 28 10.56.50 2020,tazer?
str,4,"8,6,9,7",Sat Mar 28 10.58.58 2020,kaster tazer
str,4,"1,9,8,6",Sat Mar 28 11.01.22 2020,lancelot i ansigtet
intu,2,"9,2",Sat Mar 28 11.38.04 2020,Sarahs angriber
com,8,"2,3,4,5,4,6,8,8",Sat Mar 28 11.42.12 2020,infiltrate Hestia with Oxley
com,2,"4,4",Sat Mar 28 11.42.48 2020,infiltrate Hestia with Oxley - will
com,2,"3,4",Sat Mar 28 11.42.54 2020,infiltrate Hestia with Oxley - will
com,3,"0,3,8",Sat Mar 28 11.43.38 2020,infiltrate Hestia with Oxley - will
com,1,4,Sat Mar 28 11.43.43 2020,infiltrate Hestia with Oxley - will
com,3,"3,9,0",Sat Mar 28 11.44.48 2020,infiltrate Hestia with Oxley - will
com,1,7,Sat Mar 28 11.44.54 2020,infiltrate Hestia with Oxley - will
inte,8,"9,2,7,5,2,10,2,0",Sat Mar 28 11.52.19 2020,bliv et med hestia
inte,2,"8,1",Sat Mar 28 11.52.25 2020,bliv et med hestia
com,8,"10,2,8,7,1,9,4,2",Sat Mar 28 12.15.19 2020,go deeper
com,1,1,Sat Mar 28 12.15.26 2020,go deeper
inte,8,"4,5,6,4,6,4,5,4",Sat Mar 28 12.23.28 2020,kontrol over hestia
intu,2,"1,2",Sat Mar 28 12.23.41 2020,kontrol over hestia
com,8,"1,2,1,8,3,0,7,6",Sat Mar 28 12.24.06 2020,kontrol over hestia
com,1,7,Sat Mar 28 12.24.14 2020,kontrol over hestia
